"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 06 21:37:01 GMT 2021","Fri Aug 06 21:37:37 GMT 2021","36448","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","","repeatedAndSequentialDataInputFromSource.DataInputFromSourceTest","DataInputFromSource","DataInputFromSource()",""
"broken","Fri Aug 06 21:39:14 GMT 2021","Fri Aug 06 21:39:29 GMT 2021","14727","","severalPagesAccessing.turnOverTest","","severalPagesAccessing.turnOverTest","searchingForFriends","searchingForFriends()",""
"broken","Fri Aug 06 21:38:17 GMT 2021","Fri Aug 06 21:38:32 GMT 2021","14827","","dataModification.ModificationTest","","dataModification.ModificationTest","ModificationTest","ModificationTest()",""
"broken","Fri Aug 06 21:38:47 GMT 2021","Fri Aug 06 21:39:14 GMT 2021","26970","","newDataInput.InputNewDataTest","","newDataInput.InputNewDataTest","writeANewMessage","writeANewMessage()",""
"failed","Fri Aug 06 21:39:44 GMT 2021","Fri Aug 06 21:39:54 GMT 2021","10293","","login.LoginTest","","login.LoginTest","Login","Login()",""
"broken","Fri Aug 06 21:37:37 GMT 2021","Fri Aug 06 21:38:02 GMT 2021","24781","","listingDatas.DatasListingTest","","listingDatas.DatasListingTest","clickingWhomCouldIKnow","clickingWhomCouldIKnow()",""
"broken","Fri Aug 06 21:38:32 GMT 2021","Fri Aug 06 21:38:47 GMT 2021","15839","","dataDownloading.DownloadAgisInformationTest","","dataDownloading.DownloadAgisInformationTest","DownloadAgisInformation","DownloadAgisInformation()",""
"broken","Fri Aug 06 21:38:02 GMT 2021","Fri Aug 06 21:38:17 GMT 2021","14665","","logout.LogOutTest","","logout.LogOutTest","LogOutTest","LogOutTest()",""
"passed","Fri Aug 06 21:39:54 GMT 2021","Fri Aug 06 21:40:05 GMT 2021","10802","","privacyStatementUsage.StatementTest","","privacyStatementUsage.StatementTest","StatementReadingSaving","StatementReadingSaving()",""
"broken","Fri Aug 06 21:40:05 GMT 2021","Fri Aug 06 21:40:20 GMT 2021","15417","","registration.RegTest","","registration.RegTest","Registration","Registration()",""
"broken","Fri Aug 06 21:39:29 GMT 2021","Fri Aug 06 21:39:44 GMT 2021","14698","","dataAndDatasDeleting.PictureUploadAndDeleteTest","","dataAndDatasDeleting.PictureUploadAndDeleteTest","ModificationTest","ModificationTest()",""
